feature,importance
cat__object_id_18-319-00200,0.0
cat__object_id_18-323-00228,0.0
cat__object_id_18-323-00226,0.0
cat__object_id_18-322-00267,0.0
cat__object_id_18-322-00221,0.0
cat__object_id_18-321-00272,0.0
cat__object_id_18-321-00273,0.0
cat__object_id_18-322-00219,0.0
cat__object_id_18-322-00220,0.0
cat__object_id_18-321-00218,0.0
cat__object_id_18-321-00217,0.0
cat__object_id_18-321-00216,0.0
cat__object_id_18-321-00215,0.0
cat__object_id_18-321-00211,0.0
cat__district_DIMA HASAO,0.0
cat__object_id_18-323-00230,0.0
cat__object_id_18-324-00231,0.0
cat__object_id_18-325-00238,0.0
cat__object_id_18-325-00237,0.0
cat__object_id_18-324-00263,0.0
cat__object_id_18-324-00262,0.0
cat__object_id_18-324-00260,0.0
cat__object_id_18-324-00234,0.0
cat__object_id_18-324-00232,0.0
cat__object_id_18-326-00240,0.0
cat__object_id_18-326-00243,0.0
cat__object_id_18-326-00244,0.0
cat__object_id_18-326-00241,0.0
cat__object_id_18-326-00242,0.0
cat__object_id_18-816-00235,0.0
cat__object_id_18-799-00125,0.0
cat__object_id_18-816-00258,0.0
cat__object_id_18-816-00236,0.0
